Category,Website,Link
Educational Websites,DTU-entrepreneurship,https://www.entrepreneurship.dtu.dk/education/all-entrepreneurship-courses
Tourism,airbnb,https://www.airbnb.com/
Forums and Review Sites,imdb,https://m.imdb.com/chart/top/
