1. The Shawshank Redemption
2. The Godfather
3. The Dark Knight
4. The Godfather Part II
5. 12 Angry Men
6. Schindler's List
7. The Lord of the Rings: The Return of the King
8. Pulp Fiction
9. The Lord of the Rings: The Fellowship of the Ring
"10. The Good, the Bad and the Ugly"
11. Forrest Gump
12. Fight Club
13. The Lord of the Rings: The Two Towers
14. Inception
15. Star Wars: Episode V - The Empire Strikes Back
16. The Matrix
17. GoodFellas
18. One Flew Over the Cuckoo's Nest
19. Seven
20. It's a Wonderful Life
21. Seven Samurai
22. Interstellar
23. The Silence of the Lambs
24. Saving Private Ryan
25. City of God
26. Life Is Beautiful
27. Spider-Man: Across the Spider-Verse
28. The Green Mile
29. Star Wars: Episode IV - A New Hope
30. Terminator 2: Judgment Day
31. Back to the Future
32. Spirited Away
33. The Pianist
34. Psycho
35. Parasite
36. Gladiator
37. The Lion King
38. Leon
39. American History X
40. The Departed
41. Whiplash
42. The Prestige
43. The Usual Suspects
44. Grave of the Fireflies
45. Harakiri
46. Casablanca
47. Untouchable
48. Modern Times
49. Cinema Paradiso
50. Once Upon a Time in the West
51. Rear Window
52. Alien
53. City Lights
54. Apocalypse Now
55. Django Unchained
56. Memento
57. Raiders of the Lost Ark
58. WALL·E
59. Oppenheimer
60. The Lives of Others
61. Sunset Blvd.
62. Paths of Glory
63. Avengers: Infinity War
64. The Shining
65. The Great Dictator
66. Witness for the Prosecution
67. Spider-Man: Into the Spider-Verse
68. Aliens
69. Inglourious Basterds
70. The Dark Knight Rises
71. American Beauty
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
73. Oldboy
74. Coco
75. Amadeus
76. Toy Story
77. Das Boot
78. Braveheart
79. Avengers: Endgame
80. Joker
81. Princess Mononoke
82. Good Will Hunting
83. Your Name.
84. Once Upon a Time in America
85. High and Low
86. 3 Idiots
87. Singin' in the Rain
88. Capernaum
89. Requiem for a Dream
90. Come and See
91. Toy Story 3
92. Star Wars: Episode VI - Return of the Jedi
93. Eternal Sunshine of the Spotless Mind
94. 2001: A Space Odyssey
95. The Hunt
96. Reservoir Dogs
97. Ikiru
98. Lawrence of Arabia
99. The Apartment
100. Citizen Kane
101. M
102. North by Northwest
103. Vertigo
104. Double Indemnity
105. Amélie
106. Scarface
107. Full Metal Jacket
108. A Clockwork Orange
109. Incendies
110. Heat
111. Up
112. To Kill a Mockingbird
113. Hamilton
114. The Sting
115. A Separation
116. Indiana Jones and the Last Crusade
117. Metropolis
118. Die Hard
119. Like Stars on Earth
120. Snatch
121. Bicycle Thieves
122. L.A. Confidential
123. Taxi Driver
124. 1917
125. Downfall
126. Dangal
127. For a Few Dollars More
128. Batman Begins
129. Top Gun: Maverick
130. Some Like It Hot
131. The Kid
132. The Wolf of Wall Street
133. The Father
134. Green Book
135. All About Eve
136. Judgment at Nuremberg
137. The Truman Show
138. There Will Be Blood
139. Casino
140. Ran
141. Shutter Island
142. Pan's Labyrinth
143. Jurassic Park
144. The Sixth Sense
145. Unforgiven
146. A Beautiful Mind
147. No Country for Old Men
148. The Treasure of the Sierra Madre
149. Yojimbo
150. Kill Bill: Vol. 1
151. The Thing
152. Monty Python and the Holy Grail
153. The Great Escape
154. Finding Nemo
155. Rashomon
156. The Elephant Man
157. Chinatown
158. Howl's Moving Castle
159. Dial M for Murder
160. Gone with the Wind
161. V for Vendetta
162. Prisoners
163. Raging Bull
"164. Lock, Stock and Two Smoking Barrels"
165. The Secret in Their Eyes
166. Inside Out
167. Spider-Man: No Way Home
"168. Three Billboards Outside Ebbing, Missouri"
169. The Bridge on the River Kwai
170. Trainspotting
171. Fargo
172. Warrior
173. Catch Me If You Can
174. Gran Torino
175. My Neighbour Totoro
176. Million Dollar Baby
177. Klaus
178. Harry Potter and the Deathly Hallows: Part 2
179. Children of Heaven
180. Blade Runner
181. 12 Years a Slave
182. Before Sunrise
183. The Grand Budapest Hotel
184. Ben-Hur
185. The Gold Rush
186. Gone Girl
187. Barry Lyndon
188. Hacksaw Ridge
189. In the Name of the Father
190. On the Waterfront
191. Memories of Murder
192. The General
193. The Deer Hunter
194. Wild Strawberries
195. Wild Tales
196. The Third Man
197. The Wages of Fear
198. Dead Poets Society
199. Sherlock Jr.
200. Mad Max: Fury Road
"201. Monsters, Inc."
202. Mr. Smith Goes to Washington
203. Jaws
204. How to Train Your Dragon
205. Mary and Max
206. Le Mans '66
207. The Seventh Seal
208. Room
209. The Big Lebowski
210. Ratatouille
211. Tokyo Story
212. Rocky
213. Hotel Rwanda
214. Logan
215. Spotlight
216. Platoon
217. The Passion of Joan of Arc
218. The Terminator
219. Jai Bhim
220. Before Sunset
221. Rush
222. Network
223. The Exorcist
224. The Best Years of Our Lives
225. Stand by Me
226. La haine
227. Pirates of the Caribbean: The Curse of the Black Pearl
228. The Wizard of Oz
229. The Incredibles
230. Into the Wild
231. My Father and My Son
232. Hachi: A Dog's Tale
233. The Handmaiden
234. To Be or Not to Be
235. Groundhog Day
236. The Battle of Algiers
237. The Grapes of Wrath
238. Amores perros
239. The Sound of Music
240. Rebecca
241. Cool Hand Luke
242. The Iron Giant
243. Pather Panchali
244. It Happened One Night
245. The Help
246. The 400 Blows
247. Aladdin
248. Dances with Wolves
249. Drishyam
250. Persona
