Duration
(2.8M)
(2M)
(2.8M)
(1.3M)
(840K)
(1.4M)
(1.9M)
(2.2M)
(2M)
(794K)
(2.2M)
(2.3M)
(1.7M)
(2.5M)
(1.3M)
(2M)
(1.2M)
(1M)
(1.7M)
(482K)
(360K)
(2M)
(1.5M)
(1.5M)
(786K)
(292K)
(727K)
(1.4M)
(1.4M)
(1.1M)
(1.3M)
(817K)
(885K)
(704K)
(901K)
(1.6M)
(1.1M)
(1.2M)
(1.2M)
(1.4M)
(943K)
(1.4M)
(1.1M)
(299K)
(65K)
(595K)
(905K)
(481K)
(254K)
(276K)
(343K)
(512K)
(926K)
(192K)
(696K)
(1.6M)
(1.3M)
(1M)
(1.2M)
(403K)
(232K)
(208K)
(1.2M)
(1.1M)
(233K)
(134K)
(639K)
(747K)
(1.5M)
(1.8M)
(1.2M)
(509K)
(616K)
(563K)
(419K)
(1M)
(260K)
(1.1M)
(1.2M)
(1.4M)
(419K)
(1M)
(303K)
(369K)
(421K)
(50K)
(255K)
(100K)
(880K)
(874K)
(91K)
(1.1M)
(1.1M)
(703K)
(353K)
(1.1M)
(85K)
(307K)
(458K)
(191K)
(165K)
(340K)
(419K)
(164K)
(782K)
(892K)
(774K)
(864K)
(191K)
(699K)
(1.1M)
(328K)
(108K)
(274K)
(254K)
(796K)
(182K)
(917K)
(203K)
(891K)
(171K)
(604K)
(893K)
(648K)
(369K)
(203K)
(269K)
(1.5M)
(640K)
(278K)
(132K)
(1.5M)
(180K)
(541K)
(136K)
(83K)
(1.2M)
(624K)
(549K)
(133K)
(1.4M)
(692K)
(1M)
(1M)
(428K)
(968K)
(130K)
(1M)
(129K)
(1.2M)
(453K)
(561K)
(254K)
(1.1M)
(177K)
(253K)
(342K)
(429K)
(185K)
(328K)
(1.2M)
(372K)
(779K)
(606K)
(218K)
(760K)
(842K)
(540K)
(230K)
(713K)
(707K)
(490K)
(802K)
(1.1M)
(365K)
(710K)
(174K)
(924K)
(79K)
(805K)
(728K)
(330K)
(864K)
(249K)
(116K)
(1M)
(178K)
(573K)
(162K)
(184K)
(206K)
(96K)
(355K)
(113K)
(211K)
(179K)
(65K)
(55K)
(527K)
(1.1M)
(956K)
(120K)
(645K)
(780K)
(184K)
(443K)
(194K)
(441K)
(843K)
(66K)
(795K)
(614K)
(367K)
(809K)
(492K)
(59K)
(431K)
(905K)
(212K)
(281K)
(502K)
(167K)
(444K)
(69K)
(430K)
(189K)
(419K)
(1.2M)
(785K)
(646K)
(90K)
(41K)
(303K)
(165K)
(98K)
(64K)
(667K)
(249K)
(251K)
(144K)
(185K)
(37K)
(218K)
(110K)
(482K)
(125K)
(128K)
(452K)
(417K)
(92K)
